Scen,Country,Dataset,R2,RMSPE,MAPE
M1,Cambodia,trainr,0.977894740513175,0.0439290617268341,0.0287235730728678
M1,Cambodia,testr,0.146913180523046,0.124223758045162,0.106088505043913
M2,Cambodia,trainr,0.957367813723632,0.0725947485927552,0.0445586701564237
M2,Cambodia,testr,0.0799029805090681,0.169554536576041,0.137835204151741
M3,Cambodia,trainr,0.918498646190376,0.113457355620376,0.0694940933817554
M3,Cambodia,testr,0.00277617740236333,0.165380858807709,0.135753918769442
W2,Cambodia,trainr,0.990154459847633,0.0266325893731376,0.0180609210657407
W2,Cambodia,testr,0.631518312778065,0.0682715547943567,0.0596566753350651
M1,Indonesia,trainr,0.986979702806009,0.0147390728163868,0.0108864791625825
M1,Indonesia,testr,0.904744807126166,0.0338922662323753,0.0268629102313812
M2,Indonesia,trainr,0.989454328806665,0.0145002457964548,0.0106003630810277
M2,Indonesia,testr,0.906275790621459,0.048119495649234,0.038236934284361
M3,Indonesia,trainr,0.984634374901704,0.0205296383524732,0.0153189766443439
M3,Indonesia,testr,0.846139663873419,0.0653864820545019,0.0523960114149121
W2,Indonesia,trainr,0.986468461444774,0.0139944506642308,0.0105864062749085
W2,Indonesia,testr,0.949727484493651,0.0236264643027759,0.0194891482464611
M1,Laos,trainr,0.987893135692983,0.0348754585015407,0.0229540313436842
M1,Laos,testr,0.152881027135469,0.133885247476582,0.10415640551986
M2,Laos,trainr,0.975247432857759,0.0575357862252811,0.0351339760464166
M2,Laos,testr,0.013582185380205,0.176169604873808,0.128085758753574
M3,Laos,trainr,0.961170264372812,0.0694252131088586,0.0432921647468046
M3,Laos,testr,0.188794307834815,0.165947965876739,0.124873554840575
W2,Laos,trainr,0.984981665678428,0.0319779711182833,0.0217962166201288
W2,Laos,testr,0.703277446243447,0.077120928888515,0.0598529412503526
M1,Malaysia,trainr,0.972954509184686,0.0184382497168231,0.0131380533950943
M1,Malaysia,testr,0.441721078716611,0.0374472680170457,0.030748360206978
M2,Malaysia,trainr,0.990205449405772,0.0140017273028456,0.0102080540921729
M2,Malaysia,testr,0.0865689705549393,0.043349689680528,0.0366901268652559
M3,Malaysia,trainr,0.991356806875787,0.0137441339016661,0.0099431244709423
M3,Malaysia,testr,0.189265409970743,0.0466539787374962,0.035560169389716
W2,Malaysia,trainr,0.978411240673268,0.0149399371004577,0.0108368907578446
W2,Malaysia,testr,0.736249746511387,0.0252095689037655,0.0209087706080348
M1,Myanmar,trainr,0.98868207525659,0.0227302592756975,0.0164634111191918
M1,Myanmar,testr,0.404413476059415,0.108746243159771,0.0794796831712723
M2,Myanmar,trainr,0.989418385998997,0.0261317969785804,0.0189292142538286
M2,Myanmar,testr,0.058793634275566,0.172751579090264,0.13576862093107
M3,Myanmar,trainr,0.90686147380233,0.0778829839644116,0.0577983246889812
M3,Myanmar,testr,0.0131751463176238,0.168971292244508,0.13544002322321
W2,Myanmar,trainr,0.98188968534379,0.0256884094448149,0.0188554704636113
W2,Myanmar,testr,0.793948741365798,0.058561931966854,0.0461483665458173
M1,Philippines,trainr,0.987714671682756,0.0132244150722576,0.00955426629479093
M1,Philippines,testr,0.739777588504214,0.061229438711893,0.0531417550232599
M2,Philippines,trainr,0.988113087115051,0.0135537965363634,0.0102964786080414
M2,Philippines,testr,0.597170501697347,0.0787202226605323,0.0692493904292375
M3,Philippines,trainr,0.991341072561113,0.0120155908775243,0.00906582755386329
M3,Philippines,testr,0.569508434371602,0.0839558547581326,0.0765778556954783
W2,Philippines,trainr,0.991622472100796,0.0105057711086513,0.00775699136178703
W2,Philippines,testr,0.907983749252143,0.0352473919659943,0.0286012036476525
M1,Thailand,trainr,0.980282237165249,0.0364720602266831,0.0230560113547375
M1,Thailand,testr,0.272335430459936,0.100433147621232,0.0810896004302371
M2,Thailand,trainr,0.989123322092562,0.0346119112409528,0.0212882535455502
M2,Thailand,testr,0.010153050834362,0.171281226711109,0.136775737071813
M3,Thailand,trainr,0.976205616555969,0.0543240906537151,0.035229310068435
M3,Thailand,testr,0.0677465496148078,0.176475986898316,0.148794668944177
W2,Thailand,trainr,0.988998997213271,0.0242224063374614,0.0162280498136421
W2,Thailand,testr,0.690629749602458,0.0574078463783067,0.0468279385462814
M1,Timor-Leste,trainr,0.986209816154302,0.0219796016433521,0.016185648952347
M1,Timor-Leste,testr,0.565422679368963,0.0783155396458666,0.0630857283500626
M2,Timor-Leste,trainr,0.98096402598286,0.0285612256940678,0.0207827077682037
M2,Timor-Leste,testr,0.409728685245652,0.0953454490088332,0.0795840451490835
M3,Timor-Leste,trainr,0.979607641072055,0.0295094952200382,0.021797730684103
M3,Timor-Leste,testr,0.585277515341103,0.0831430623589726,0.0670106495353005
W2,Timor-Leste,trainr,0.989133289635466,0.0180788445028822,0.0134212427467507
W2,Timor-Leste,testr,0.842253134330295,0.0487709705896394,0.0390539947537947
M1,Vietnam,trainr,0.988063785653232,0.017201961321156,0.0128055710249257
M1,Vietnam,testr,0.578565781687418,0.0799206971212823,0.0623558645273088
M2,Vietnam,trainr,0.988428318465563,0.0185576507095239,0.0138826116952697
M2,Vietnam,testr,0.348949408611862,0.101775073318268,0.0811388504747766
M3,Vietnam,trainr,0.989540187223473,0.0179003368808488,0.013365941222686
M3,Vietnam,testr,0.246762484870705,0.106551488060422,0.0899615953990553
W2,Vietnam,trainr,0.983780367211799,0.0177381869894087,0.0132800888007062
W2,Vietnam,testr,0.863330838983714,0.0427696767237811,0.0335320200977703
