Scen,CRN,q1,q9,preds,actual,width,interval_pred_ratio,mean_interval_width_percentage,stdev,interval_score,sharpness,underprediction,overprediction
W2,Cambodia,40.74,46.45,43.8732019333333,47.14,5.71,0.130147783803802,19.2192764604003,0.0906201303572703,1.261,0.571,0.689999999999998,0
W2,Cambodia,41.55,47.51,44.5549983333334,47.54,5.96,0.13376725895961,19.2192764604003,0.0906201303572703,0.626000000000001,0.596,0.0300000000000011,0
W2,Cambodia,42.64,48.84,45.4966627000001,47.77,6.2,0.136273731567568,19.2192764604003,0.0906201303572703,0.62,0.62,0,0
W2,Cambodia,42.89,50.24,46.0002048666668,48.22,7.35,0.15978189708729,19.2192764604003,0.0906201303572703,0.735,0.735,0,0
W2,Cambodia,42.66,50.24,46.2530353333334,48.37,7.58000000000001,0.163881136564832,19.2192764604003,0.0906201303572703,0.758000000000001,0.758000000000001,0,0
W2,Cambodia,42.71,50.733,46.6197373333334,49.16,8.023,0.172094491709277,19.2192764604003,0.0906201303572703,0.8023,0.8023,0,0
W2,Cambodia,44.075,51.69,47.3181543333333,50.09,7.615,0.160931889827233,19.2192764604003,0.0906201303572703,0.7615,0.7615,0,0
W2,Cambodia,44.31,51.93,47.676297,50.82,7.62,0.159827849046246,19.2192764604003,0.0906201303572703,0.762,0.762,0,0
W2,Cambodia,44.305,52.39,48.165775,52.22,8.085,0.167857778682062,19.2192764604003,0.0906201303572703,0.8085,0.8085,0,0
W2,Cambodia,44.31,52.7,48.265319,54.48,8.39,0.173830820428225,19.2192764604003,0.0906201303572703,2.61899999999999,0.839,1.77999999999999,0
W2,Cambodia,44.38,53.02,48.9331293333334,57.05,8.64,0.176567493592003,19.2192764604003,0.0906201303572703,4.89399999999999,0.864,4.02999999999999,0
W2,Cambodia,44.888,52.732,49.1702803333333,58.27,7.84400000000001,0.159527258067765,19.2192764604003,0.0906201303572703,6.32239999999999,0.784400000000001,5.53799999999999,0
W2,Cambodia,45.379,54.608,50.6864953333333,57.95,9.229,0.182080057800537,19.2192764604003,0.0906201303572703,4.2649,0.9229,3.342,0
W2,Cambodia,46.072,56.29,51.8176430000001,57.24,10.218,0.197191524130111,19.2192764604003,0.0906201303572703,1.9718,1.0218,0.950000000000003,0
W2,Cambodia,44.92,56.29,51.6134113333334,55.82,11.37,0.22029158132117,19.2192764604003,0.0906201303572703,1.137,1.137,0,0
W2,Cambodia,46.08,56.29,51.328701,54.96,10.21,0.198914053951998,19.2192764604003,0.0906201303572703,1.021,1.021,0,0
W2,Cambodia,44.99,55.42,51.0201893333333,55.56,10.43,0.204428876809081,19.2192764604003,0.0906201303572703,1.183,1.043,0.140000000000001,0
W2,Cambodia,44.92,52.7,49.7067706666667,55.94,7.78,0.156517912864882,19.2192764604003,0.0906201303572703,4.018,0.778,3.24,0
W2,Cambodia,45.963,54.22,50.232521,58.74,8.257,0.164375584494356,19.2192764604003,0.0906201303572703,5.3457,0.8257,4.52,0
W2,Cambodia,45.95,60.95,52.053989,61.1,15,0.288162353897604,19.2192764604003,0.0906201303572703,1.65,1.5,0.149999999999999,0
W2,Cambodia,44.92,63.96,54.3372690000001,62.51,19.04,0.350404066130007,19.2192764604003,0.0906201303572703,1.904,1.904,0,0
