Scen,CRN,q1,q9,preds,actual,width,interval_pred_ratio,mean_interval_width_percentage,stdev,theMis
W2,Cambodia,37.029,40.561,38.9225086666667,42.01,3.532,0.0907444078244836,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,37.76,42.37,40.318294,43.5,4.61,0.114340155364709,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.06,44.78,41.8620672666667,44.16,5.72,0.136639214770806,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,40.31,46.6,43.4812807333333,44.74,6.29,0.144659952372976,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,41.46,47.51,44.4389610000001,45.89,6.05,0.136141796834539,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,41.986,47.54,45.1161484,47.41,5.554,0.12310448025745,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,41.79,48.631,45.8543439666667,48.26,6.841,0.149189791156384,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,44.96,50.72,48.1547796666667,50,5.76,0.119614294569956,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,45.731,51.692,48.911334,53.01,5.961,0.12187359273415,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,46.14,52.7,50.2136376666667,55.05,6.56,0.130641799814371,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,47.448,57.05,51.1919206666667,55.63,9.60199999999999,0.187568660736972,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,48.148,58.27,52.993749,56.04,10.122,0.191003659695788,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,48.2,58.27,53.6867553333334,55.46,10.07,0.187569539963382,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,48.209,58.74,54.1279096666667,52.52,10.531,0.194557670245397,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,48.21,58.74,53.470113,49.66,10.53,0.196932443363267,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,47.13,53.15,50.4143226666667,46.6,6.02,0.119410510378241,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,44.479,51.77,48.3033916666667,43.84,7.291,0.150941781693383,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,42.83,50.2,46.3969402666666,43.88,7.37000000000001,0.158846681648421,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.97,46.475,43.1703888666667,44.09,6.505,0.15068198760245,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.97,46.562,43.0566910333334,45.9,6.59200000000001,0.153100478503948,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.55,46.56,42.5917975,47.89,7.01000000000001,0.164585681080964,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,42.7204,50.61,46.2197922666667,49.54,7.8896,0.170697435299594,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,44.01,54.04,49.2206671666667,47.12,10.03,0.203776189502619,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,46.49,54.06,51.4349720333333,44.53,7.57,0.147176127462345,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,42.52,53.55,48.626504,44.41,11.03,0.226831030254612,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.2,48.76,43.6008423333333,45.62,9.56,0.219261819001402,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.2,48.304,43.4124670333333,43.77,9.10399999999999,0.209709344392008,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,40.352,51.7,46.2472692666667,43.88,11.348,0.245376649906965,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,37.46,47.173,42.2889181666666,41.98,9.71300000000001,0.229681921909652,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,37.46,46.977,42.4145502666667,39.79,9.517,0.224380547245348,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,35,45.725,40.3658057333333,39.87,10.725,0.265695179500493,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,31.63,42.1212,37.6009626666666,40.51,10.4912,0.27901413304241,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,34.99,42.9178,38.6763075333333,44.94,7.9278,0.204978202564125,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,34.99,45.06,39.7861103333333,44.44,10.07,0.253103405073585,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,38.379,49.21,44.0165648666667,46.04,10.831,0.246066453227526,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,38.379,47.513,43.3185592666667,48.05,9.13399999999999,0.210856504801362,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,39.018,50.601,45.2333416,50.28,11.583,0.256072171329478,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,43.39,51.77,47.787968,51.2,8.38,0.175357947841599,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,44.36,52.226,48.906627,50.1,7.866,0.160837098825073,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,44.36,53.02,49.316695,49.6,8.66,0.175599763933897,17.0272070275164,0.0465627327397994,13.9447230769231
W2,Cambodia,44.36,51.852,48.6872233333334,46.93,7.492,0.153880206901646,17.0272070275164,0.0465627327397994,13.9447230769231
